,datetime,cpu0,cpu1,cpu2,ram,data_download,data_upload,cpuavg,state
221,2022-10-20 11:13:58.506109,93.5,86.8,92.1,54.1,0.556551625,0.017216254,90.8,high
222,2022-10-20 11:14:00.692187,86.8,81.0,88.3,53.6,0.559926332,0.017271864,85.36666666666667,high
223,2022-10-20 11:14:02.850918,85.9,88.3,86.9,54.3,0.562052368,0.017325693,87.03333333333335,high
224,2022-10-20 11:14:05.072276,86.7,84.2,86.6,54.6,0.564263288,0.017336627,85.83333333333333,high
225,2022-10-20 11:14:07.236286,86.9,82.3,87.1,54.5,0.567746739,0.017432975,85.43333333333332,high
226,2022-10-20 11:14:09.536203,87.0,86.9,88.1,55.0,0.57102681,0.017453629,87.33333333333333,high
227,2022-10-20 11:14:12.494638,89.9,93.0,89.9,54.0,0.574713254,0.017538436,90.93333333333334,high
228,2022-10-20 11:14:14.730778,80.4,78.4,85.7,54.8,0.574987857,0.017584971,81.5,high
229,2022-10-20 11:14:16.985989,77.0,80.6,76.9,54.7,0.577226038,0.017598673,78.16666666666667,high
230,2022-10-20 11:14:19.209890,78.4,78.2,80.4,54.7,0.577524881,0.017608121,79.00000000000001,high
231,2022-10-20 11:14:21.382500,76.5,82.0,80.6,54.9,0.579384749,0.017621901,79.7,high
232,2022-10-20 11:14:24.316141,79.1,83.3,78.5,55.0,0.579582425,0.017656918,80.3,high
233,2022-10-20 11:14:26.500194,78.4,79.0,79.7,55.0,0.580354493,0.017699191,79.03333333333335,high
234,2022-10-20 11:14:28.654019,75.6,76.3,75.5,55.0,0.582161799,0.017702195,75.8,high
235,2022-10-20 11:14:30.816777,36.0,41.5,38.5,54.6,0.58392237,0.017710582,38.666666666666664,high
236,2022-10-20 11:14:32.994152,34.4,37.6,36.5,54.5,0.583922475,0.017710809,36.166666666666664,high
237,2022-10-20 11:14:35.153063,37.1,38.9,36.9,54.8,0.583923819,0.017712387,37.63333333333333,high
238,2022-10-20 11:14:37.329182,41.1,41.7,42.9,55.0,0.586680439,0.017719994,41.900000000000006,high
239,2022-10-20 11:14:39.509440,27.1,32.2,31.0,53.6,0.586682659,0.017732549,30.100000000000005,normal
240,2022-10-20 11:14:41.675567,22.1,22.3,22.3,53.4,0.588244008,0.017746094,22.233333333333334,normal
241,2022-10-20 11:14:44.650820,30.8,29.4,30.1,53.2,0.590453802,0.017752163,30.100000000000005,normal
242,2022-10-20 11:14:46.720084,15.9,16.6,12.5,53.2,0.590454261,0.01775489,15.0,normal
243,2022-10-20 11:14:48.881994,33.2,32.2,32.1,53.4,0.59249815,0.017764283,32.5,normal
244,2022-10-20 11:14:51.004976,17.7,24.3,15.7,53.5,0.593040739,0.01776641,19.233333333333334,normal
245,2022-10-20 11:14:53.213354,15.2,14.1,11.8,53.5,0.593042163,0.017770415,13.699999999999998,normal
246,2022-10-20 11:14:55.390127,17.5,16.3,17.6,53.6,0.593042163,0.017770415,17.133333333333333,normal
247,2022-10-20 11:14:57.563979,18.8,22.4,19.6,53.4,0.594977107,0.017776067,20.26666666666667,normal
